ダウンロードした時刻：2026/05/27 16:02:17

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2024/8/27,30.6,8,1,34.5,8,1,28.1,8,1
2024/8/28,29.7,8,1,34.4,8,1,26.6,8,1
2024/8/29,27.2,8,1,29.0,8,1,25.7,8,1
2024/8/30,29.3,8,1,34.5,8,1,26.1,8,1
2024/8/31,28.1,8,1,31.0,8,1,25.8,8,1
2024/9/1,28.1,8,1,31.8,8,1,26.2,8,1
2024/9/2,28.9,8,1,33.0,8,1,26.3,8,1
2024/9/3,28.6,8,1,31.5,8,1,26.8,8,1
2024/9/4,28.6,8,1,32.8,8,1,25.0,8,1
2024/9/5,28.5,8,1,33.4,8,1,25.7,8,1
2024/9/6,29.1,8,1,33.2,8,1,26.5,8,1
2024/9/7,29.2,8,1,32.6,8,1,26.9,8,1
2024/9/8,29.5,8,1,33.6,8,1,25.3,8,1
2024/9/9,30.1,8,1,35.9,8,1,26.2,8,1
2024/9/10,30.5,8,1,34.8,8,1,28.1,8,1
2024/9/11,30.0,8,1,33.6,8,1,28.0,8,1
2024/9/12,29.4,8,1,34.3,8,1,26.1,8,1
2024/9/13,29.6,8,1,32.5,8,1,27.5,8,1
2024/9/14,30.4,8,1,34.4,8,1,27.5,8,1
2024/9/15,29.3,8,1,32.6,8,1,27.0,8,1
2024/9/16,30.0,8,1,34.2,8,1,27.7,8,1
2024/9/17,29.9,8,1,34.3,8,1,28.2,8,1
2024/9/18,29.8,8,1,33.1,8,1,27.7,8,1
2024/9/19,29.9,8,1,32.1,8,1,28.7,8,1
2024/9/20,29.8,8,1,32.9,8,1,28.2,8,1
2024/9/21,28.9,8,1,30.7,8,1,28.3,8,1
2024/9/22,26.1,8,1,28.9,8,1,23.7,8,1
2024/9/23,25.0,8,1,28.2,8,1,22.5,8,1
2024/9/24,26.0,8,1,30.2,8,1,22.2,8,1
